Word,Corrected,Connected,Additional,Removal,Subs,Undefined,??????
abstractcvalue,abstract c value,2,,,,,
abstractdatatreenode,abstract data tree node,3,,,,,
abstractdecoratorwrapper,abstract decorator wrapper,2,,,,,
abstractdefinition,abstract definition,1,,,,,
abstractdependencyinjectionspringcontexttests,abstract dependency injection spring context tests,5,,,,,
abstractdialogpanel,abstract dialog panel,2,,,,,
abstractdmvmadapter,abstract dmvm adapter,2,,,,1,
abstractdocument,abstract document,1,,,,,
abstractdroptargetlistener,abstract drop target listener,3,,,,,
abstracteditingmodel,abstract editing model,2,,,,,
abstracteditpartviewer,abstract edit part viewer,3,,,,,
abstractejbvalidator,abstract ejb validator,2,,,,1,
abstractelement,abstract element,1,,,,,
abstractemfmodel,abstract emf model,2,,,,1,
abstractemfoperation,abstract emf operation,2,,,,1,
abstractemfoperations,abstract emf operations,2,,,,1,
abstractentitycomposite,abstract entity composite,2,,,,,
abstractentitypersister,abstract entity per sister,3,,,,,
abstractenvironment,abstract environment,1,,,,,
abstracterrorreporters,abstract error reporters,2,,,,,
abstractevaluationvisitor,abstract evaluation visitor,2,,,,,
abstractfederatingcmdb,abstract federating cmdb,2,,,,1,
abstractfocusviewaction,abstract focus view action,3,,,,,
abstractform,abstract form,1,,,,,
abstractfunctiondescription,abstract function description,2,,,,,
abstractgccbopconsoleparser,abstract gcc bop console parser,4,,,,1,
abstractgridelement,abstract grid element,2,,,,,
abstractgroupprovider,abstract group provider,2,,,,,
abstracthostshell,abstract host shell,2,,,,,
abstracthyperlink,abstract hyperlink,1,,,,,
abstractindexertask,abstract indexer task,2,,,,,
abstractinformationcontrol,abstract information control,2,,,,,
abstractinformationcontrolmanager,abstract information control manager,3,,,,,
abstractinfoview,abstract info view,2,,,,,
abstractinterfacedrivendependencyinjectionaspect,abstract interface driven dependency injection aspect,5,,,,,
abstractjavamultirelationshipmapping,abstract java multi relationship mapping,4,,,,,
abstractjavanamedcolumn,abstract java named column,3,,,,,
abstractjdbcdelegate,abstract jdbc delegate,2,,,,1,
abstractjpadetailspage,abstract jpa details page,3,,,,1,
abstractlaunchconfigurationtabgroup,abstract launch configuration tab group,4,,,,,
abstractlaunchshortcut,abstract launch shortcut,2,,,,,
abstractlayoutprovidernav,abstract layout provider nav,3,,,,,
abstractlinestyleprovider,abstract line style provider,3,,,,,
abstractlistener,abstract listener,1,,,,,
abstractlistviewer,abstract list viewer,2,,,,,
abstractlm,abstract lm,1,,,,1,
abstractlocalteamaction,abstract local team action,3,,,,,
abstractmainvalidator,abstract main validator,2,,,,,
abstractmakefile,abstract make file,2,,,,,
abstractmarkerannotationmodel,abstract marker annotation model,3,,,,,
abstractmaynstallfield,abstract maynst all field,3,,,,1,
abstractmethoddeclara,abstract method declare,2,1,1,,,
abstractmethoddeclaration,abstract method declaration,2,,,,,
abstractmethodtests,abstract method tests,2,,,,,
abstractmodel,abstract model,1,,,,,
abstractmodelerpropertysection,abstract model property section,3,2,,,,
abstractnamepackageeditpart,abstract name package edit part,4,,,,,
abstractnestedvalidator,abstract nested validator,2,,,,,
abstractnodelocator,abstract node locator,2,,,,,
abstractoawcontentoutlinepage,abstract oaw content outline page,4,,,,1,
abstractobservablelist,abstract observable list,2,,,,,
abstractobservablevalue,abstract observable value,2,,,,,
abstractomtest,abstract om test,2,,,,1,
abstractondemandcontentprovidernav,abstract on demand content provider nav,5,,,,,
abstractormnamedcolumn,abstract orm named column,3,,,,1,
abstractpane,abstract pane,1,,,,,
abstractparsetreeconstructor,abstract parse tree constructor,3,,,,,
abstractpersistenceunitregistry,abstract per sistence unit registry,4,,,,1,
abstractplatformtransactionmanager,abstract platform transaction manager,3,,,,,
abstractplugin,abstract plugin,1,,,,,
abstractpluginblock,abstract plugin block,2,,,,,
abstractproblemdetector,abstract problem detector,2,,,,,
abstractprocessor,abstract processor,1,,,,,
abstractqueryservice,abstract query service,2,,,,,
abstractqvtparser,abstract qvt parser,2,,,,1,
abstractqvttestcase,abstract qvt test case,3,,,,1,
abstractremotefile,abstract remote file,2,,,,,
abstractremoteserviceaccesshandler,abstract remote service access handler,4,,,,,
abstractrenderedimage,abstract rendered image,2,,,,,
abstractreportelementlayoutcontroller,abstract report element layout controller,4,,,,,
abstractreportfactory,abstract report factory,2,,,,,
abstractrepository,abstract repository,1,,,,,
abstractrepositoryconnector,abstract repository connector,2,,,,,
abstractrepositorysettingspage,abstract repository settings page,3,,,,,
abstractrepositorytaskeditor,abstract repository task editor,3,,,,,
abstractrequest,abstract request,1,,,,,
abstractresourceclient,abstract resource client,2,,,,,
abstractresourceencodingdetector,abstract resource encoding detector,3,,,,,
abstractresourcemanager,abstract resource manager,2,,,,,
abstractresourcemodelprovider,abstract resource model provider,3,,,,,
abstractresourceselectionpanel,abstract resource selection panel,3,,,,,
abstractresults,abstract results,1,,,,,
abstractsection,abstract section,1,,,,,
abstractsecurityinterceptor,abstract security interceptor,2,,,,,
abstractselectionmodule,abstract selection module,2,,,,,
abstractserializerfactory,abstract serializer factory,2,,,,,
abstractserialversionoperation,abstract serial version operation,3,,,,,
abstractsetupdatahelper,abstract setup data helper,3,,,,,
abstractsitemodel,abstract site model,2,,,,,
abstractsonline,abstract online,1,1,,,,
abstractsourceprovider,abstract source provider,2,,,,,
abstractsqlparser,abstract sql parser,2,,,,,
abstractstatusareaprovider,abstract status area provider,3,,,,,
abstractstructuredgraphviewer,abstract structured graph viewer,3,,,,,
abstractstructuredmodel,abstract structured model,2,,,,,
abstractsubject,abstract subject,1,,,,,
abstractsubjectpanel,abstract subject panel,2,,,,,
abstractsvnparticipant,abstract svn participant,2,,,,1,
abstractsvnstorage,abstract svn storage,2,,,,1,
abstractsvnwizard,abstract svn wizard,2,,,,1,
abstractsynchronizescope,abstract synchronize scope,2,,,,,
abstractsyntaxbridge,abstract syntax bridge,2,,,,,
abstractsystemviewelementer,abstract system view elementer,3,,,,,
abstracttableeditpart,abstract table edit part,3,,,,,
abstracttagresolvingstrategy,abstract tag resolving strategy,3,,,,,
abstracttaskrepositorylinkprovider,abstract task repository link provider,4,,,,,
abstracttestresultspublicationservice,abstract test results publication service,4,,,,,
abstracttestsuite,abstract test suite,2,,,,,
abstractthreadedsyncadapter,abstract threaded sync adapter,3,,,,,
abstracttraceaspect,abstract trace aspect,2,,,,,
abstracttreeviewer,abstract tree viewer,2,,,,,
abstractuserinteractionmonitor,abstract user interaction monitor,3,,,,,
abstractvalidationcontext,abstract validation context,2,,,,,
abstractvalidationuiplugin,abstract validation ui plugin,3,,,,1,
abstractvariabledeclaration,abstract variable declaration,2,,,,,
abstractverifiedwizardpage,abstract verified wizard page,3,,,,,
abstractvirtualorganization,abstract virtual organization,2,,,,,
abstractvirtualorginisation,abstract virtual organization,2,2,2,,,
abstractvmprovider,abstract vm provider,2,,,,1,
abstractwardeployer,abstract war deployed,2,1,1,,,
abstractwidgetlca,abstract widget lca,2,,,,1,
abstractworkingsetdialogcopy,abstract working set dialog copy,4,,,,,
abstractxdssoapclient,abstract xds soap client,3,,,,1,
absturzes,abstruse,,1,,2,,
abteilung,abseiling,,2,2,,,
abuilder,a builder,1,,,,,
abundle,a bundle,1,,,,,
abunsmargin,a buns margin,2,,,,,
abusebox,abuse box,1,,,,,
acachekey,a cache key,2,,,,,
academ,academe,,,1,,,
acancel,a cancel,1,,,,,
accaunts,accounts,,1,1,,,
acccept,accept,,1,,,,
acccessibility,accessibility,,1,,,,
acceder,accede,,1,,,,
accelaration,acceleration,,1,1,,,
acceleratorconfiguration,accelerator configuration,1,,,,,
acceleratorconst,accelerator const,1,,,,1,
accelermeter,accelerometer,,,1,,,
accelkey,accel key,1,,,,1,
accelleration,acceleration,,1,,,,
accelometer,acidometer,,3,2,,,
accelrometer,accelerometer,,1,,,,
accentcolor,accent color,1,,,,,
accepeted,accepted,,1,,,,
acceptec,accepter,,1,1,,,
acceptevent,accept event,1,,,,,
acceptfornestedbindings,accept for nested bindings,3,,,,,
acceptmatch,accept match,1,,,,,
acceptnace,acceptance,,,,1,,
acceptnewdebugger,accept new debugger,2,,,,,
acceptobject,accept object,1,,,,,
acceptpipe,accept pipe,1,,,,,
accepttag,accept tag,1,,,,,
accercier,accercier,,,,,1,
accesable,accessible,,1,2,,,
accesed,accessed,,,1,,,
acceservice,access service,1,,2,,,
accesibility,accessibility,,,1,,,
accesscheck,access check,1,,,,,
accesscontrol,access control,1,,,,,
accesscontroller,access controller,1,,,,,
accessfilter,access filter,1,,,,,
accessforread,access for read,2,,,,,
accessibiilty,accessibility,,,,1,,
accessibilityconfig,accessibility configure,1,,3,,,
accessibilityevents,accessibility events,1,,,,,
accessibilityinputfilter,accessibility input filter,2,,,,,
accessibilityworkbench,accessibility workbench,1,,,,,
accessibiltiy,accessibility,,,,1,,
accessibleadapter,accessible adapter,1,,,,,
accessiblebrowsebox,accessible browse box,2,,,,,
accessiblebrowseboxobjtype,accessible browse box obj type,4,,,,1,
accessiblebutton,accessible button,1,,,,,
accessiblecheckbox,accessible checkbox,1,,,,,
accessiblecombobox,accessible combobox,1,,,,,
accessibledocument,accessible document,1,,,,,
accessibleevent,accessible event,1,,,,,
accessiblegraphicshape,accessible graphic shape,2,,,,,
accessiblelistitem,accessible list item,2,,,,,
accessiblemenu,accessible menu,1,,,,,
accessiblemenubar,accessible menu bar,2,,,,,
accessiblemenuitem,accessible menu item,2,,,,,
accessiblepresentationoleshape,accessible presentation ole shape,3,,,,1,
accessibleprops,accessible props,1,,,,,
accessiblerelationtype,accessible relation type,2,,,,,
accessiblescrollbar,accessible scroll bar,2,,,,,
accessibleshapeinfo,accessible shape info,2,,,,,
accessibleshapesexample,accessible shapes example,2,,,,,
accessibleshapetreeinfo,accessible shape tree info,3,,,,,
accessiblestate,accessible state,1,,,,,
accessibletex,accessible text,1,,1,,,
accessibletext,accessible text,1,,,,,
accessibletextdocumentview,accessible text document view,3,,,,,
accessibletexthelper,accessible text helper,2,,,,,
accessibletoolboxitem,accessible tool box item,3,,,,,
accessibletreelistbox,accessible tree list box,3,,,,,
accessibletreelistboxentry,accessible tree list box entry,4,,,,,
accesslog,access log,1,,,,,
accessmode,access mode,1,,,,,
accessorkey,accessory key,1,,1,,,
accesspayload,access payload,1,,,,,
accessplatform,access platform,1,,,,,
accesspoints,access points,1,,,,,
accesss,accesses,,,1,,,
accessthe,access the,1,,,,1,
accesstype,access type,1,,,,,
acchelp,acc help,1,,,,1,
acchelptopic,acc help topic,2,,,,1,
acciendtally,accidentally,,1,1,,,
accionable,actionable,,1,1,,,
acclame,acclaim,,1,1,,,
accnavigate,acc navigate,1,,,,1,
accociated,associated,,2,2,,,
accollector,ac collector,1,,,,1,
accomodating,accommodating,,,1,,,
accomulated,accumulated,,1,1,,,
acconnt,accent,,2,1,,,
accou,account,,,2,,,
accounta,account a,1,,,,1,
accountactivity,account activity,1,,,,,
accountaddressid,account addressed,1,1,1,,,
accountandsyncsettings,account and sync settings,3,,,,,
accountbillads,account bill ads,2,,,,,
accountchangedservice,account changed service,2,,,,,
accountfo,account fo,1,,,,1,
accountgroup,account group,1,,,,,
accountinfo,account info,1,,,,,
accountmanager,account manager,1,,,,,
accountmanagercallback,account manager call back,3,,,,,
accountmanagerhelper,account manager helper,2,,,,,
accountmanagerplugin,account manager plugin,2,,,,,
accountmanagerservice,account manager service,2,,,,,
accountn,account,,1,,,,
accountschangedreceiver,accounts changed receiver,2,,,,,
accountservices,account services,1,,,,,
accountsreceiver,accounts receiver,1,,,,,
accountsummary,account summary,1,,,,,
accounttree,account tree,1,,,,,
accounttypemanager,account type manager,2,,,,,
accountupdater,account updater,1,,,,,
accountx,account,,1,,,,
accoutmanager,account manager,1,,1,,,
accoutn,account,,,,1,,
accrding,according,,,1,,,
accroding,according,,,,1,,
accrurately,accurately,,1,,,,
accstate,acetate,,2,1,,,
accumbuffer,accum buffer,1,,,,1,
accumulateconfigdataactiontest,accumulate configuration data action test,4,,7,,,
accumulateorpaintverticalsegment,accumulate or paint vertical segment,4,,,,,
accvalue,acc value,1,,,,1,
acdefines,ac defines,1,,,,1,
acdlabs,acd labs,1,,,,1,
acejob,ace job,1,,,,,
acellproperties,a cell properties,2,,,,,
acentua,accentual,,,2,,,
acerca,acerca,,,,,1,
acercamiento,acercamiento,,,,,1,
acerftteam,acerft team,1,,,,1,
acesse,access,,1,1,,,
acessible,accessible,,,1,,,
acessing,accessing,,,1,,,
acesss,accesses,,,2,,,
acfcontext,acf context,1,,,,1,
acfhtml,acf html,1,,,,1,
acgtransformation,acg transformation,1,,,,1,
achangetype,a change type,2,,,,,
acheckmsg,a check msg,2,,,,1,
achildarray,a child array,2,,,,,
achive,archive,,,1,,,
achived,archived,,,1,,,
achored,anchored,,,1,,,
achromeflags,a chrome flags,2,,,,,
achtion,action,,1,,,,
achtung,acting,,2,1,,,
acidentally,accidentally,,,1,,,
acidtests,acid tests,1,,,,,
ackage,ack age,1,,,,1,
acked,acked,,,,,1,
acknak,acknak,,,,,1,
acknowlegement,acknowledgement,,,1,,,
aclearance,a clearance,1,,,,,
aclearscopehint,a clear scope hint,3,,,,,
aclient,a client,1,,,,,
aclipse,a clipse,1,,,,1,
acllibimports,a cllibim ports,2,,,,1,
aclone,a clone,1,,,,,
acocunts,accounts,,,,1,,
acollection,a collection,1,,,,,
acollectorfunc,a collector function,2,,4,,,
acolor,a color,1,,,,,
acommandrefcon,a command refcon,2,,,,1,
acomponent,a component,1,,,,,
acomptr,a computer,1,,2,,,
acomputedwidth,a computed width,2,,,,,
aconsumed,a consumed,1,,,,,
acontaineritem,a container item,2,,,,,
acontainingblock,a containing block,2,,,,,
acontentparentframe,a content parent frame,3,,,,,
acontextflags,a context flags,2,,,,,
acontextid,a context id,2,,,,,
acontract,a contract,1,,,,,
acontractid,a contract id,2,,,,,
acontroller,a controller,1,,,,,
acontrollers,a controllers,1,,,,,
acorbin,a corbin,1,,,,1,
acore,a core,1,,,,,
acosta,acosta,,,,,1,
acoth,acoth,,,,,1,
acounts,accounts,,,1,,,
acquireclientsession,acquire client session,2,,,,,
acquireclientsessionbroker,acquire client session broker,3,,,,,
acquirecredentials,acquire credentials,1,,,,,
acquirehistoricalentitymanager,acquire historical entity manager,3,,,,,
acquireimportservicerecords,acquire import service records,3,,,,,
acquireinstancerange,acquire instance range,2,,,,,
acquirejob,acquire job,1,,,,,
acquirelock,acquire lock,1,,,,,
acquiremutex,acquire mutex,1,,,,1,
acquireprovider,acquire provider,1,,,,,
acquireunstablecontentproviderclient,acquire unstable content provider client,4,,,,,
acquirewifilocklocked,acquire wifi lock locked,3,,,,,
acrhives,archives,,,,1,,
acronis,acronis,,,,,1,
acronmyn,acronym,,1,,1,,
acroplugin,acro plugin,1,,,,1,
acroread,acro read,1,,,,1,
acrossi,across,,1,,,,
acsendnoobject,acsend no object,2,,,,,
acservice,ac service,1,,,,1,
acsremote,acs remote,1,,,,1,
acsta,acsta,,,,,1,
acstring,ac string,1,,,,1,
actally,actually,,,1,,,
actaully,actually,,,,1,,
acticity,activity,,1,1,,,
actif,active,,1,2,,,
actiity,activity,,,1,,,
actio,action,,,1,,,
actionbara,action bara,1,,,,1,
actionbarimpl,action barimpl,1,,,,1,
actionbars,action bars,1,,,,,
actionbtntile,action btn tile,2,,,,1,
actionchat,action chat,1,,,,,
actionclass,action class,1,,,,,
actioncommand,action command,1,,,,,
actioncontributionitem,action contribution item,2,,,,,
actioncontributorxml,action contributor xml,2,,,,,
actiondefinition,action definition,1,,,,,
actiondefinitionid,action definition id,2,,,,,
actiondelegatehandlerproxy,action delegate handler proxy,3,,,,,
actionform,action form,1,,,,,
actionheader,action header,1,,,,,
actionlistener,action listener,1,,,,,
actionlog,action log,1,,,,,
actionmanager,action manager,1,,,,,
actionmenuitemview,action menu item view,3,,,,,
actionmenuprovider,action menu provider,2,,,,,
actionmenuview,action menu view,2,,,,,
actionmodecallbackwrapper,action mode callback wrapper,3,,,,,
actionmodeimpl,action mode impl,2,,,,1,
actionnext,action next,1,,,,,
actionoutputs,action outputs,1,,,,,
actionpackage,action package,1,,,,,
actionpart,action part,1,,,,,
actionprovider,action provider,1,,,,,
actionrunner,action runner,1,,,,,
actionscript,action script,1,,,,,
actionscriptgenerationtest,action script generation test,3,,,,,
actionsetpartassociations,action set part associations,3,,,,,
actiontype,action type,1,,,,,
actionuri,action uri,1,,,,1,
actionutilities,action utilities,1,,,,,
actionutils,action utils,1,,,,1,
actionviewbar,action view bar,2,,,,,
actionviewcomments,action view comments,2,,,,,
actionviewlayout,action view layout,2,,,,,
activatecelleditor,activate cell editor,2,,,,,
activateentry,activate entry,1,,,,,
activatehandle,activate handle,1,,,,,
activatejavaeditortest,activate java editor test,3,,,,,
activateoptions,activate options,1,,,,,
activateplugins,activate plugins,1,,,,,
activateplugintsmdoc,activate plugin tsmdoc,2,,,,1,
activateremoteframe,activate remote frame,2,,,,,
activationcodetrigger,activation code trigger,2,,,,,
activationevent,activation event,1,,,,,
activationheader,activation header,1,,,,,
activationlistener,activation listener,1,,,,,
activationpolicy,activation policy,1,,,,,
activationpropertiesin,activation properties in,2,,,,,
activationspec,activation specification,1,,9,,,
activecell,active cell,1,,,,,
activechangesetcollector,active change set collector,3,,,,,
activecontext,active context,1,,,,,
activecontexts,active contexts,1,,,,,
activecontextsourceprovider,active context source provider,3,,,,,
activecontrol,active control,1,,,,,
activedatabases,active databases,1,,,,,
activeeditorchanged,active editor changed,2,,,,,
activeframe,active frame,1,,,,,
activegc,active gc,1,,,,1,
activepartexpression,active part expression,2,,,,,
activepartsection,active part section,2,,,,,
activeplacement,active placement,1,,,,,
activepointer,active pointer,1,,,,,
activescrolledroot,active scrolled root,2,,,,,
activeselectionsection,active selection section,2,,,,,
activily,actively,,1,1,,,
activite,activate,,1,1,,,
activites,activities,,,1,,,
activitiy,activity,,1,,,,
activitybumble,activity bumble,1,,,,,
activityc,activity c,1,,,,1,
activitycategorybinding,activity category binding,2,,,,,
activitycloseexitanimation,activity close exit animation,3,,,,,
activitycontextmanager,activity context manager,2,,,,,
activitycreartor,activity creartor,1,,,,,
activityd,activity d,1,,,,1,
activitydefinitions,activity definitions,1,,,,,
activityidle,activity idle,1,,,,,
activityidschanged,activity ids changed,2,,,,1,
activityidstoprocess,activity ids to process,3,,,,1,
activityimpl,activity impl,1,,,,1,
activityinfo,activity info,1,,,,,
activitylinknodes,activity link nodes,2,,,,,
activitylistenersbyitem,activity listeners by item,3,,,,,
activitymanager,activity manager,1,,,,,
activitymgmt,activity mgmt,1,,,,1,
activitypartitionnameeditpart,activity partition name edit part,4,,,,,
activityproject,activity project,1,,,,,
activityrequirementbindingdefinitions,activity requirement binding definitions,3,,,,,
activitys,activities,,1,2,,,
activitystate,activity state,1,,,,,
activitystatesessionidle,activity state session idle,3,,,,,
activitytestcase,activity test case,2,,,,,
activityth,activity th,1,,,,1,
activitythr,activity thr,1,,,,1,
activo,active,,1,1,,,
activsync,active sync,1,,1,,,
activte,activate,,,1,,,
actmgr,act mgr,1,,,,1,
actoringwizardopenoperation,actor ing wizard open operation,4,,,,1,
actstate,act state,1,,,,,
acttreeviewer,act tree viewer,2,,,,,
actualcontainer,actual container,1,,,,,
actualites,actualities,,,1,,,
actualizacion,actualization,,1,1,,,
actualizari,actualization,,1,3,,,
actualpos,actual pos,1,,,,1,
actualy,actually,,,1,,,
actuat,actuate,,,1,,,
actuel,actual,,1,1,,,
actuellement,actual lement,1,1,1,,1,
actvity,activity,,,1,,,
acuire,acquire,,,1,,,
acura,acura,,,,,1,
acurrenttarget,a current target,2,,,,,
acutally,actually,,,,1,,
adabasuien,adabasuien,,,,,1,
adadptoe,adaptor,,2,1,,,
adamg,adamg,,,,,1,
adams,adams,,,,,1,
adamsbros,adamsbros,,,,,1,
adamwalczak,adamwalczak,,,,,1,
adapater,adapter,,1,,,,
adapers,adapters,,,1,,,
adaptabit,adapt bit,1,1,,,,
adaptablelist,adaptable list,1,,,,,
adaptabletype,adaptable type,1,,,,,
adaptdescriptorfor,adapt descriptor for,2,,,,,
adapterfactory,adapter factory,1,,,,,
adapterfactoryclass,adapter factory class,2,,,,,
adapterfactorycontentprovider,adapter factory content provider,3,,,,,
adapterfactoryeditordomain,adapter factory editor domain,3,,,,,
adaptermanager,adapter manager,1,,,,,
adapterutils,adapter utils,1,,,,1,
adaptervendorid,adapter vendor id,2,,,,,
adaptorfactories,adaptor factories,1,,,,,
adaptregions,adapt regions,1,,,,,
adapttransparency,adapt transparency,1,,,,,
adariolaptop,adario laptop,1,,,,1,
adatatypeexpr,a data type expr,3,,,,1,
adatb,adapt,,1,1,,,
adbbackend,adb backend,1,,,,1,
adbbean,adb bean,1,,,,1,
adbdata,adb data,1,,,,1,
adbhelper,adb helper,1,,,,1,
adbhost,adb host,1,,,,1,
adblock,adb lock,1,,,,1,
adblocker,adb locker,1,,,,1,
adblocking,adb locking,1,,,,1,
adblockpreferenceswindow,adb lock preferences window,3,,,,1,
adbmonkeydevice,adb monkey device,2,,,,1,
adbobe,adobe,,1,,,,
adbwriteendpointsync,adb write endpoint sync,3,,,,1,
addactiontomenu,add action to menu,3,,,,,
addactivecontext,add active context,2,,,,,
addalbum,add album,1,,,,,
addalias,add alias,1,,,,,
addanimation,add animation,1,,,,,
addappwidgetfromdrop,add app widget from drop,4,,,,,
addargument,add argument,1,,,,,
addarrows,add arrows,1,,,,,
addaspectsaffectingtype,add aspects affecting type,3,,,,,
addaspectsfromjarfile,add aspects from jar file,4,,,,,
addassetpath,add asset path,2,,,,,
addattribute,add attribute,1,,,,,
addattributec,add attribute c,2,,,,1,
addattributes,add attributes,1,,,,,
addattributevalueproposals,add attribute value proposals,3,,,,,
addauthorizationheaders,add authorization headers,2,,,,,
addbasicsecurityheader,add basic security header,3,,,,,
addbatch,add batch,1,,,,,
addbatterydata,add battery data,2,,,,,
addblock,add block,1,,,,,
addblockplus,add block plus,2,,,,,
addbookmarkrecord,add book mark record,3,,,,,
addbuffer,add buffer,1,,,,,
addbuildanalysissteps,add build analysis steps,3,,,,,
addbundles,add bundles,1,,,,,
addbuttonselectionlistener,add button selection listener,3,,,,,
addcache,add cache,1,,,,,
addcalendar,add calendar,1,,,,,
addcdopackage,add cdo package,2,,,,1,
addcert,add cert,1,,,,,
addcerttolisttailwithdata,add cert to list tail with data,6,,,,,
addchange,add change,1,,,,,
addchanged,add changed,1,,,,,
addchildprojects,add child projects,2,,,,,
addclassmessages,add class messages,2,,,,,
addcol,add col,1,,,,,
addcolocatedrepositoryaction,add collocated repository action,3,,1,,,
addcolumbinding,add column binding,2,,1,,,
addcondition,add condition,1,,,,,
addcontacttask,add contact task,2,,,,,
addcontextinformations,add context informations,2,,,,,
addcontribution,add contribution,1,,,,,
addcrashannotation,add crash annotation,2,,,,,
addcredentials,add credentials,1,,,,,
addcreditcardactivity,add credit card activity,3,,,,,
addcreditcardfragment,add credit card fragment,3,,,,,
addcustomfields,add custom fields,2,,,,,
adddataauthority,add data authority,2,,,,,
adddatalistener,add data listener,2,,,,,
adddatetime,add date time,2,,,,,
adddependencies,add dependencies,1,,,,,
adddescriptor,add descriptor,1,,,,,
adddevmenu,add dev menu,2,,,,1,
adddirectquerykey,add direct query key,3,,,,,
adddisposelistener,add dispose listener,2,,,,,
adddoubleclicklistener,add double click listener,3,,,,,
adddraggesturelistener,add drag gesture listener,3,,,,,
adddress,add dress,1,,,,,
adddriver,add driver,1,,,,,
adddtddefaultattrsandvalidate,add dtd default attained validate,4,2,2,,,
addencoding,add encoding,1,,,,,
addengine,add engine,1,,,,,
addenginetostore,add engine to store,3,,,,,
addentity,add entity,1,,,,,
adderrorstatus,add error status,2,,,,,
addesses,add esses,1,,,,1,
addevent,add event,1,,,,,
addexceptionhandlers,add exception handlers,2,,,,,
addexistingtaskjob,add existing task job,3,,,,,
addextendedformat,add extended format,2,,,,,
addextension,add extension,1,,,,,
addexternalfileaction,add external file action,3,,,,,
addfacettoproject,add facet to project,3,,,,,
addfallthroughproposals,add fall through proposals,3,,,,,
addfatalerror,add fatal error,2,,,,,
addfieldnametranslation,add field name translation,3,,,,,
addfooterview,add footer view,2,,,,,
addformcomponentvaliditylistener,add form component validity listener,4,,,,,
addfragment,add fragment,1,,,,,
addframe,add frame,1,,,,,
addframeconstructionitems,add frame construction items,3,,,,,
addfunctiontoken,add function token,2,,,,,
addgcthingroot,add gc thing root,3,,,,1,
addglyphrun,add glyph run,2,,,,,
addhandlerlistener,add handler listener,2,,,,,
addheader,add header,1,,,,,
addhostheader,add host header,2,,,,,
addictinggames,addicting games,1,,,,,
addidtargetobserver,add id target observer,3,,,,,
addimport,add import,1,,,,,
addimporttosourcepackagetypes,add import to source package types,5,,,,,
addingcomponents,adding components,1,,,,,
addingitem,adding item,1,,,,,
addingsecondreplyresultsingap,adding second reply result sing ap,5,,,,1,
addinitializer,add initializer,1,,,,,
addinlineminwidth,add inline min width,3,,,,,
addinstallableunit,add installable unit,2,,,,,
addinstallableunits,add installable units,2,,,,,
addinvoke,add invoke,1,,,,,
additionaldelimetersstr,additional deli meters str,3,,,,1,
additionalinfobroadcaster,additional info broadcaster,2,,,,,
additionaljointestsuite,additional join test suite,3,,,,,
additionional,additional,,3,,,,
additionnaly,additionally,,1,1,,,
additiveexpression,additive expression,1,,,,,
additonal,additional,,,1,,,
addiu,add iu,1,,,,1,
addjarfiletoindex,add jar file to index,4,,,,,
addjavainstaller,add java installer,2,,,,,
addjobchangelistener,add job change listener,4,,,,,
addjov,add jov,1,,,,1,
addjspfile,add jsp file,2,,,,1,
addjssupport,add js support,2,,,,1,
addjunitfailures,add junit failures,2,,,,1,
addkeytoset,add key to set,3,,,,,
addkodopu,add kodopu,1,,,,1,
addlabels,add labels,1,,,,,
addlaunchconfigtypes,add launch configuration types,3,,7,,,
