DS,Id,LenT,TypoT,UTT,LenD,TypoD,UTD,LenB,TypoB,UTB
Mozilla,548674,7,5,5,4,2,2,11,7,7
Mozilla,548676,11,1,1,88,7,3,99,8,4
Mozilla,548679,5,2,2,16,6,5,21,8,7
Mozilla,548680,6,2,2,3,0,0,9,2,2
Mozilla,538555,4,2,2,82,26,13,86,28,15
Mozilla,537540,8,4,4,244,96,24,252,100,28
Mozilla,548682,6,1,1,60,15,12,66,16,13
Mozilla,548684,4,1,1,21,4,4,25,5,5
Mozilla,548685,7,2,2,142,46,30,149,48,32
Mozilla,548686,9,1,1,20,5,4,29,6,5
Mozilla,548688,11,0,0,140,8,7,151,8,7
Mozilla,548690,2,0,0,6,1,1,8,1,1
Mozilla,548693,11,1,1,28,2,2,39,3,3
Mozilla,548694,7,1,1,9,0,0,16,1,1
Mozilla,538556,2,1,1,113,28,16,115,29,17
Mozilla,548695,6,0,0,16,1,1,22,1,1
Mozilla,548696,5,0,0,19,0,0,24,0,0
Mozilla,548697,6,1,1,6,0,0,12,1,1
Mozilla,548698,5,1,1,6,0,0,11,1,1
Mozilla,548699,4,0,0,14,0,0,18,0,0
Mozilla,548700,9,1,1,15,1,1,24,2,2
Mozilla,548701,4,0,0,40,10,4,44,10,4
Mozilla,548702,8,0,0,24,1,1,32,1,1
Mozilla,548703,10,2,2,22,7,4,32,9,6
Mozilla,548704,7,0,0,30,6,4,37,6,4
Mozilla,538557,6,2,2,51,4,4,57,6,6
Mozilla,548705,10,1,1,144,22,11,154,23,12
Mozilla,548706,11,2,2,16,0,0,27,2,2
Mozilla,548707,11,0,0,146,11,6,157,11,6
Mozilla,548708,5,0,0,60,11,7,65,11,7
Mozilla,548709,7,0,0,25,0,0,32,0,0
Mozilla,548711,10,4,4,187,32,17,197,36,21
Mozilla,548712,7,0,0,30,5,5,37,5,5
Mozilla,548713,2,0,0,60,15,9,62,15,9
Mozilla,548714,5,0,0,13,2,2,18,2,2
Mozilla,538558,7,0,0,138,15,6,145,15,6
Mozilla,548715,4,2,2,21,3,3,25,5,5
Mozilla,548717,5,0,0,31,4,3,36,4,3
Mozilla,548719,11,7,5,578,218,82,589,225,87
Mozilla,548720,9,2,2,31,9,4,40,11,6
Mozilla,548721,9,0,0,302,21,13,311,21,13
Mozilla,548722,7,2,2,114,23,13,121,25,15
Mozilla,548723,4,2,2,45,7,6,49,9,8
Mozilla,548724,8,0,0,148,6,4,156,6,4
Mozilla,548725,5,0,0,26,13,11,31,13,11
Mozilla,538559,7,1,1,21,2,1,28,3,2
Mozilla,548727,4,1,1,23,5,3,27,6,4
Mozilla,548728,9,2,2,12,4,3,21,6,5
Mozilla,548730,10,2,2,300,47,18,310,49,20
Mozilla,548731,6,1,1,31,5,4,37,6,5
Mozilla,548732,6,0,0,33,4,3,39,4,3
Mozilla,548733,5,0,0,73,3,3,78,3,3
Mozilla,548734,8,0,0,147,12,7,155,12,7
Mozilla,548735,11,1,1,182,11,9,193,12,10
Mozilla,538560,3,0,0,110,15,8,113,15,8
Mozilla,548736,7,0,0,26,3,3,33,3,3
Mozilla,548737,6,0,0,94,7,4,100,7,4
Mozilla,548738,4,1,1,163,34,15,167,35,16
Mozilla,548739,8,1,1,83,10,3,91,11,4
Mozilla,548740,9,3,3,27,8,5,36,11,8
Mozilla,548741,8,1,1,23,7,7,31,8,8
Mozilla,548742,11,1,1,69,5,4,80,6,5
Mozilla,548743,8,1,1,28,3,3,36,4,4
Mozilla,548744,11,0,0,94,8,5,105,8,5
Mozilla,548746,11,0,0,34,2,2,45,2,2
Mozilla,538561,9,1,1,107,11,5,116,12,6
Mozilla,548747,8,1,1,16,7,6,24,8,7
Mozilla,548748,3,0,0,91,12,9,94,12,9
Mozilla,548749,10,0,0,37,1,1,47,1,1
Mozilla,548750,4,1,1,110,13,5,114,14,6
Mozilla,548751,6,0,0,32,3,3,38,3,3
Mozilla,548752,4,1,1,115,10,5,119,11,6
Mozilla,548754,9,1,1,126,11,6,135,12,7
Mozilla,548755,10,2,2,140,15,7,150,17,9
Mozilla,538562,2,1,1,100,11,5,102,12,6
Mozilla,548757,4,0,0,23,3,3,27,3,3
Mozilla,548758,7,1,1,133,20,11,140,21,12
Mozilla,548759,1,0,0,71,8,3,72,8,3
Mozilla,548760,3,1,1,29,4,3,32,5,4
Mozilla,548761,2,0,0,69,10,7,71,10,7
Mozilla,548762,9,1,1,147,17,9,156,18,10
Mozilla,548763,8,0,0,74,3,3,82,3,3
Mozilla,548764,4,0,0,2,0,0,6,0,0
Mozilla,548765,4,0,0,128,17,9,132,17,9
Mozilla,548766,5,0,0,9,0,0,14,0,0
Mozilla,538563,5,1,1,83,12,7,88,13,8
Mozilla,548767,8,1,1,4,1,1,12,2,2
Mozilla,548768,7,1,1,178,33,14,185,34,15
Mozilla,548769,6,2,2,154,30,13,160,32,15
Mozilla,548770,8,2,2,116,18,14,124,20,16
Mozilla,548771,5,0,0,16,0,0,21,0,0
Mozilla,548772,5,1,1,22,6,4,27,7,5
Mozilla,548773,4,1,1,5,0,0,9,1,1
Mozilla,548774,7,3,3,119,10,4,126,13,7
Mozilla,548775,7,1,1,16,2,2,23,3,3
Mozilla,548776,6,0,0,61,10,5,67,10,5
Mozilla,538564,7,1,1,23,2,2,30,3,3
Mozilla,548777,3,0,0,119,8,6,122,8,6
Mozilla,548778,6,1,1,36,6,5,42,7,6
Mozilla,548779,15,3,2,186,19,7,201,22,9
Mozilla,548781,3,1,1,61,6,3,64,7,4
Mozilla,548782,10,2,2,119,33,9,129,35,11
Mozilla,548783,5,2,2,21,9,6,26,11,8
Mozilla,548784,7,0,0,148,13,8,155,13,8
Mozilla,548785,4,0,0,57,5,2,61,5,2
Mozilla,548786,7,0,0,147,16,10,154,16,10
Mozilla,538565,4,0,0,103,10,5,107,10,5
Mozilla,537541,7,1,1,63,7,3,70,8,4
Mozilla,548787,7,0,0,125,5,4,132,5,4
Mozilla,548788,13,3,3,141,23,18,154,26,21
Mozilla,548789,15,4,3,142,15,6,157,19,9
Mozilla,548790,9,0,0,96,5,4,105,5,4
Mozilla,548791,4,0,0,111,20,14,115,20,14
Mozilla,548792,6,0,0,68,6,6,74,6,6
Mozilla,548793,7,4,4,552,147,83,559,151,87
Mozilla,548794,4,1,1,45,4,4,49,5,5
Mozilla,548795,12,1,1,42,3,3,54,4,4
Mozilla,548796,5,1,1,164,20,9,169,21,10
Mozilla,538566,6,1,1,73,8,4,79,9,5
Mozilla,548797,4,1,1,42,8,7,46,9,8
Mozilla,548798,8,0,0,62,7,6,70,7,6
Mozilla,548799,6,2,2,705,303,121,711,305,123
Mozilla,548800,10,4,3,98,19,13,108,23,16
Mozilla,548801,5,0,0,34,3,2,39,3,2
Mozilla,548803,5,0,0,100,21,14,105,21,14
Mozilla,548804,8,0,0,25,3,3,33,3,3
Mozilla,548805,7,2,2,27,4,3,34,6,5
Mozilla,548806,7,1,1,91,19,15,98,20,16
Mozilla,538567,4,1,1,86,7,4,90,8,5
Mozilla,548807,6,0,0,28,9,7,34,9,7
Mozilla,548808,7,2,2,77,14,6,84,16,8
Mozilla,548809,6,2,1,86,9,2,92,11,3
Mozilla,548810,6,2,2,74,30,20,80,32,22
Mozilla,548811,7,0,0,34,6,5,41,6,5
Mozilla,548812,15,12,8,528,207,58,543,219,66
Mozilla,548813,3,1,1,32,3,3,35,4,4
Mozilla,548815,8,0,0,197,19,8,205,19,8
Mozilla,538568,8,3,3,51,5,5,59,8,8
Mozilla,548818,5,0,0,101,9,5,106,9,5
Mozilla,548819,9,2,2,161,46,22,170,48,24
Mozilla,548820,2,1,1,69,9,5,71,10,6
Mozilla,548821,3,2,2,9,2,2,12,4,4
Mozilla,548822,8,0,0,68,11,6,76,11,6
Mozilla,548823,16,3,3,11,3,2,27,6,5
Mozilla,548824,5,0,0,154,35,16,159,35,16
Mozilla,548825,3,2,2,18,7,4,21,9,6
Mozilla,548826,6,1,1,49,12,10,55,13,11
Mozilla,538570,9,1,1,49,10,6,58,11,7
Mozilla,548827,5,1,1,83,10,6,88,11,7
Mozilla,548828,3,0,0,51,7,7,54,7,7
Mozilla,548829,9,1,1,179,9,5,188,10,6
Mozilla,548830,7,0,0,127,9,5,134,9,5
Mozilla,548832,14,4,4,143,22,8,157,26,12
Mozilla,548833,10,2,2,50,14,10,60,16,12
Mozilla,548835,4,0,0,148,14,13,152,14,13
Mozilla,548836,9,0,0,25,5,4,34,5,4
Mozilla,548837,5,0,0,21,5,5,26,5,5
Mozilla,548838,5,1,1,10,0,0,15,1,1
Mozilla,538571,4,0,0,49,3,3,53,3,3
Mozilla,548839,7,3,3,55,10,5,62,13,8
Mozilla,548842,4,0,0,62,6,3,66,6,3
Mozilla,548843,5,1,1,126,26,14,131,27,15
Mozilla,548844,5,0,0,63,10,9,68,10,9
Mozilla,548846,8,0,0,58,3,3,66,3,3
Mozilla,548847,6,1,1,54,12,8,60,13,9
Mozilla,548849,5,2,2,33,6,4,38,8,6
Mozilla,548850,10,1,1,90,11,9,100,12,10
Mozilla,548851,7,1,1,24,3,2,31,4,3
Mozilla,538572,6,1,1,56,12,9,62,13,10
Mozilla,548852,3,0,0,78,8,6,81,8,6
Mozilla,548853,4,1,1,15,2,2,19,3,3
Mozilla,548854,8,0,0,78,8,5,86,8,5
Mozilla,548855,7,2,2,27,6,5,34,8,7
Mozilla,548856,11,5,5,27,5,4,38,10,9
Mozilla,548857,4,0,0,85,23,15,89,23,15
Mozilla,548858,5,4,4,29,8,5,34,12,9
Mozilla,548859,8,6,6,23,13,12,31,19,18
Mozilla,548860,8,1,1,60,12,8,68,13,9
Mozilla,548861,11,3,3,272,30,14,283,33,17
Mozilla,538573,7,0,0,115,10,8,122,10,8
Mozilla,548863,7,2,2,39,11,9,46,13,11
Mozilla,548865,8,2,2,17,5,3,25,7,5
Mozilla,548867,5,0,0,33,8,5,38,8,5
Mozilla,548868,9,1,1,163,13,12,172,14,13
Mozilla,548869,6,1,1,49,6,4,55,7,5
Mozilla,548870,5,0,0,19,0,0,24,0,0
Mozilla,548871,7,2,2,186,27,16,193,29,18
Mozilla,548872,9,1,1,60,12,8,69,13,9
Mozilla,538574,4,0,0,117,7,6,121,7,6
Mozilla,548873,8,1,1,60,12,8,68,13,9
Mozilla,548874,7,1,1,60,12,8,67,13,9
Mozilla,548875,9,1,1,60,12,8,69,13,9
Mozilla,548876,8,1,1,60,12,8,68,13,9
Mozilla,548877,8,2,2,60,12,8,68,14,10
Mozilla,548878,8,1,1,60,12,8,68,13,9
Mozilla,548879,8,1,1,60,12,8,68,13,9
Mozilla,548880,8,2,2,60,12,8,68,14,10
Mozilla,548881,8,2,2,60,12,8,68,14,10
Mozilla,548882,8,0,0,60,12,8,68,12,8
Mozilla,538575,10,1,1,44,6,4,54,7,5
Mozilla,548883,6,0,0,116,7,3,122,7,3
Mozilla,548886,10,1,1,163,13,12,173,14,13
Mozilla,548887,9,1,1,163,13,12,172,14,13
Mozilla,548888,8,1,1,163,13,12,171,14,13
Mozilla,548889,10,1,1,163,13,12,173,14,13
Mozilla,548890,9,1,1,163,13,12,172,14,13
Mozilla,548891,9,2,2,163,13,12,172,15,14
Mozilla,548892,9,1,1,163,13,12,172,14,13
Mozilla,548893,9,1,1,163,13,12,172,14,13
Mozilla,538576,4,1,1,31,3,3,35,4,4
Mozilla,537542,3,0,0,33,3,3,36,3,3
Mozilla,548894,9,2,2,163,13,12,172,15,14
Mozilla,548895,9,2,2,163,13,12,172,15,14
Mozilla,548896,9,0,0,163,13,12,172,13,12
Mozilla,548897,9,2,2,163,13,12,172,15,14
Mozilla,548898,8,2,2,60,12,8,68,14,10
Mozilla,548899,14,1,1,67,13,9,81,14,10
Mozilla,548900,4,0,0,57,6,4,61,6,4
Mozilla,548901,5,1,1,18,1,1,23,2,2
Mozilla,548902,3,1,1,59,10,7,62,11,8
Mozilla,548903,7,0,0,11,0,0,18,0,0
Mozilla,538577,3,0,0,77,5,3,80,5,3
Mozilla,548904,5,3,3,10,0,0,15,3,3
Mozilla,548905,7,0,0,112,15,4,119,15,4
Mozilla,548906,2,0,0,1,0,0,3,0,0
Mozilla,548907,5,2,2,40,11,10,45,13,12
Mozilla,548908,6,2,2,5,0,0,11,2,2
Mozilla,548909,5,0,0,41,7,4,46,7,4
Mozilla,548910,3,0,0,6,0,0,9,0,0
Mozilla,548911,7,3,3,592,141,36,599,144,39
Mozilla,548912,5,1,1,26,6,6,31,7,7
Mozilla,548913,5,0,0,151,26,8,156,26,8
Mozilla,538578,5,0,0,43,1,1,48,1,1
Mozilla,548914,11,0,0,86,8,3,97,8,3
Mozilla,548915,6,2,2,35,6,4,41,8,6
Mozilla,548917,8,1,1,129,26,8,137,27,9
Mozilla,548919,3,0,0,206,11,5,209,11,5
Mozilla,548920,6,0,0,16,0,0,22,0,0
Mozilla,548921,7,1,1,88,3,3,95,4,4
Mozilla,548922,8,0,0,18,2,2,26,2,2
Mozilla,548923,5,0,0,25,2,2,30,2,2
Mozilla,548924,4,2,2,22,5,5,26,7,7
Mozilla,538579,11,1,1,122,11,5,133,12,6
Mozilla,548925,7,2,2,79,9,6,86,11,8
Mozilla,548926,4,2,2,11,1,1,15,3,3
Mozilla,548928,5,2,2,89,19,11,94,21,13
Mozilla,548929,11,1,1,86,6,3,97,7,4
Mozilla,548930,4,0,0,35,4,4,39,4,4
Mozilla,548931,8,2,2,51,16,13,59,18,15
Mozilla,548933,5,0,0,50,4,3,55,4,3
Mozilla,548934,6,2,2,19,2,2,25,4,4
Mozilla,548935,6,1,1,28,8,8,34,9,9
Mozilla,548936,4,1,1,4,1,1,8,2,2
Mozilla,548937,5,1,1,15,3,3,20,4,4
Mozilla,548938,4,0,0,29,3,3,33,3,3
Mozilla,548939,3,1,1,17,5,3,20,6,4
Mozilla,548940,4,0,0,48,2,1,52,2,1
Mozilla,548942,6,1,1,68,14,13,74,15,14
Mozilla,548943,7,1,1,10,0,0,17,1,1
Mozilla,548944,4,1,1,1,0,0,5,1,1
Mozilla,548945,12,3,2,42,8,6,54,11,8
Mozilla,548946,5,3,3,25,5,5,30,8,8
Mozilla,548947,5,0,0,19,3,3,24,3,3
Mozilla,538581,8,1,1,49,4,4,57,5,5
Mozilla,548948,6,1,1,218,41,7,224,42,8
Mozilla,548949,6,1,1,57,13,11,63,14,12
Mozilla,548950,4,1,1,13,3,3,17,4,4
Mozilla,548951,6,2,1,23,3,3,29,5,4
Mozilla,548952,4,1,1,26,4,1,30,5,2
Mozilla,548953,4,1,1,27,7,5,31,8,6
Mozilla,548954,4,1,1,15,2,1,19,3,2
Mozilla,548955,10,2,1,36,3,3,46,5,4
Mozilla,548956,7,0,0,100,13,9,107,13,9
Mozilla,548957,7,0,0,31,3,3,38,3,3
Mozilla,538582,6,2,2,9,3,3,15,5,5
Mozilla,548958,5,0,0,41,1,1,46,1,1
Mozilla,548959,4,2,2,13,0,0,17,2,2
Mozilla,548961,9,3,3,2707,1366,530,2716,1369,533
Mozilla,548962,7,3,3,23,4,4,30,7,7
Mozilla,548963,6,0,0,30,0,0,36,0,0
Mozilla,548964,11,1,1,17,1,1,28,2,2
Mozilla,548966,5,0,0,210,3,3,215,3,3
Mozilla,548967,7,0,0,25,4,4,32,4,4
Mozilla,538583,7,4,3,49,15,10,56,19,13
Mozilla,548969,8,1,1,20,0,0,28,1,1
Mozilla,548970,4,1,1,113,11,8,117,12,9
Mozilla,548971,2,0,0,47,5,2,49,5,2
Mozilla,548975,7,1,1,16,1,1,23,2,2
Mozilla,548976,8,2,2,91,11,4,99,13,6
Mozilla,548977,8,0,0,23,0,0,31,0,0
Mozilla,548978,7,1,1,43,8,7,50,9,8
Mozilla,548981,4,0,0,64,5,5,68,5,5
Mozilla,548983,7,1,1,87,12,7,94,13,8
Mozilla,548984,8,1,1,47,9,4,55,10,5
Mozilla,548985,6,1,1,9,0,0,15,1,1
Mozilla,548986,3,0,0,312,103,15,315,103,15
Mozilla,548993,7,0,0,29,3,2,36,3,2
Mozilla,548995,4,2,2,246,98,37,250,100,39
Mozilla,548996,7,0,0,196,37,11,203,37,11
Mozilla,548997,7,3,3,69,9,8,76,12,11
Mozilla,548998,8,2,2,69,9,8,77,11,10
Mozilla,538585,6,0,0,46,2,2,52,2,2
Mozilla,548999,7,2,2,69,9,8,76,11,10
Mozilla,549000,7,2,2,69,9,8,76,11,10
Mozilla,549001,7,2,2,69,9,8,76,11,10
Mozilla,549002,8,2,2,69,9,8,77,11,10
Mozilla,549003,7,2,2,69,9,8,76,11,10
Mozilla,549004,6,2,2,69,9,8,75,11,10
Mozilla,549005,7,1,1,69,8,7,76,9,8
Mozilla,549006,7,3,3,69,9,8,76,12,11
Mozilla,549007,7,3,3,69,9,8,76,12,11
Mozilla,549008,7,3,3,69,9,8,76,12,11
Mozilla,538586,9,2,2,91,25,14,100,27,16
Mozilla,537543,6,0,0,66,12,6,72,12,6
Mozilla,549009,7,2,2,69,9,8,76,11,10
Mozilla,549010,5,2,2,676,181,44,681,183,46
Mozilla,549011,6,2,2,19,4,4,25,6,6
Mozilla,549012,5,1,1,3,0,0,8,1,1
Mozilla,549013,4,1,1,12,1,1,16,2,2
Mozilla,549014,5,2,2,9,3,2,14,5,4
Mozilla,549015,2,1,1,20,3,1,22,4,2
Mozilla,549016,4,0,0,52,12,6,56,12,6
Mozilla,549017,5,1,1,30,1,1,35,2,2
Mozilla,549018,9,2,2,61,13,12,70,15,14
Mozilla,538587,5,0,0,11,0,0,16,0,0
Mozilla,549019,8,2,2,26,5,4,34,7,6
Mozilla,549023,10,4,4,14,4,4,24,8,8
Mozilla,549024,5,0,0,19,6,4,24,6,4
Mozilla,549025,9,0,0,22,4,3,31,4,3
Mozilla,549026,6,1,1,16,1,1,22,2,2
Mozilla,549027,3,2,2,107,21,12,110,23,14
Mozilla,549028,5,0,0,42,10,9,47,10,9
Mozilla,549033,6,2,2,90,8,6,96,10,8
Mozilla,549034,8,2,2,322,41,22,330,43,24
Mozilla,549035,2,0,0,16,5,3,18,5,3
Mozilla,538588,11,0,0,85,7,6,96,7,6
Mozilla,549037,5,0,0,13,1,1,18,1,1
Mozilla,549038,4,0,0,7,0,0,11,0,0
Mozilla,549039,10,0,0,1103,297,37,1113,297,37
Mozilla,549040,5,1,1,91,7,5,96,8,6
Mozilla,549041,6,0,0,79,10,5,85,10,5
Mozilla,549042,9,1,1,40,5,3,49,6,4
Mozilla,549043,5,1,1,355,84,33,360,85,34
Mozilla,549044,6,0,0,86,1,1,92,1,1
Mozilla,549045,4,0,0,175,23,6,179,23,6
Mozilla,549046,4,3,3,44,8,5,48,11,8
Mozilla,538589,9,0,0,39,0,0,48,0,0
Mozilla,549047,17,5,5,91,11,11,108,16,16
Mozilla,549048,3,2,2,22,3,3,25,5,5
Mozilla,549049,16,9,9,90,17,15,106,26,24
Mozilla,549051,10,1,1,47,13,5,57,14,6
Mozilla,549052,13,0,0,45,4,2,58,4,2
Mozilla,549053,2,0,0,49,4,3,51,4,3
Mozilla,549054,6,1,1,84,16,9,90,17,10
Mozilla,549055,2,1,1,587,177,67,589,178,68
Mozilla,549056,6,0,0,28,3,3,34,3,3
Mozilla,549057,6,2,2,88,8,5,94,10,7
Mozilla,538590,6,0,0,120,5,3,126,5,3
Mozilla,549059,6,1,1,39,3,3,45,4,4
Mozilla,549060,4,1,1,24,3,2,28,4,3
Mozilla,549061,3,0,0,9,0,0,12,0,0
Mozilla,549062,7,3,3,23,9,7,30,12,10
Mozilla,549064,4,2,2,6,5,5,10,7,7
Mozilla,549067,7,0,0,17,2,2,24,2,2
Mozilla,549068,3,0,0,32,3,3,35,3,3
Mozilla,549069,4,1,1,9,1,1,13,2,2
Mozilla,538591,11,3,2,87,6,4,98,9,6
Mozilla,549070,3,0,0,29,7,6,32,7,6
Mozilla,549071,8,2,2,77,8,5,85,10,7
Mozilla,549072,4,0,0,7,0,0,11,0,0
Mozilla,549073,6,0,0,186,29,13,192,29,13
Mozilla,549074,7,2,2,86,13,9,93,15,11
Mozilla,549075,5,1,1,16,4,3,21,5,4
Mozilla,549076,5,3,3,56,11,9,61,14,12
Mozilla,549078,5,0,0,149,8,5,154,8,5
Mozilla,549079,4,2,2,22,5,5,26,7,7
Mozilla,538592,6,2,2,21,2,2,27,4,4
Mozilla,549080,7,1,1,311,82,50,318,83,51
Mozilla,549081,12,5,5,133,27,15,145,32,20
Mozilla,549082,2,1,1,65,9,5,67,10,6
Mozilla,549083,2,0,0,52,4,4,54,4,4
Mozilla,549084,9,2,2,179,29,14,188,31,16
Mozilla,549085,6,0,0,140,23,11,146,23,11
Mozilla,549087,5,1,1,239,58,49,244,59,50
Mozilla,549088,7,2,2,89,7,3,96,9,5
Mozilla,549089,7,0,0,121,12,8,128,12,8
Mozilla,538593,4,2,2,3,1,1,7,3,3
Mozilla,549090,5,1,1,91,31,14,96,32,15
Mozilla,549092,7,3,3,29,9,8,36,12,11
Mozilla,549093,3,1,1,95,15,6,98,16,7
Mozilla,549094,8,3,3,5,3,2,13,6,5
Mozilla,549095,4,1,1,99,15,6,103,16,7
Mozilla,549096,8,2,2,59,11,7,67,13,9
Mozilla,549097,6,0,0,44,5,5,50,5,5
Mozilla,549098,6,2,2,207,70,30,213,72,32
Mozilla,549099,14,2,2,629,199,38,643,201,40
Mozilla,538594,5,0,0,8,0,0,13,0,0
Mozilla,549100,6,0,0,8,0,0,14,0,0
Mozilla,549101,3,1,1,116,31,19,119,32,20
Mozilla,549104,6,1,1,35,4,4,41,5,5
Mozilla,549106,14,0,0,76,0,0,90,0,0
Mozilla,549107,5,0,0,30,10,6,35,10,6
Mozilla,549108,4,0,0,74,15,12,78,15,12
Mozilla,549109,11,6,6,28,8,5,39,14,11
Mozilla,538595,5,0,0,64,10,6,69,10,6
Mozilla,549110,10,6,6,49,12,11,59,18,17
Mozilla,549111,5,0,0,46,5,5,51,5,5
Mozilla,549112,19,13,8,162,48,28,181,61,36
Mozilla,549114,7,1,1,51,10,9,58,11,10
Mozilla,549115,3,1,1,6,1,1,9,2,2
Mozilla,549116,3,1,1,5,1,1,8,2,2
Mozilla,549117,9,4,4,194,32,10,203,36,14
Mozilla,549118,7,0,0,87,9,4,94,9,4
Mozilla,549119,3,1,1,601,191,68,604,192,69
Mozilla,538596,8,2,2,111,9,7,119,11,9
Mozilla,537544,5,2,2,115,17,9,120,19,11
Mozilla,549120,5,2,2,12,2,2,17,4,4
Mozilla,549121,8,1,1,118,14,6,126,15,7
Mozilla,549123,6,0,0,179,11,5,185,11,5
Mozilla,549126,7,1,1,85,16,10,92,17,11
Mozilla,549127,7,0,0,170,16,10,177,16,10
Mozilla,549129,5,0,0,10,0,0,15,0,0
Mozilla,538597,2,1,1,46,10,10,48,11,11
Mozilla,549130,10,1,1,95,6,5,105,7,6
