ID,Word,Corrected
678,addjavainstaller,add java installer
684,addkeytoset,add key to set
686,addlabels,add labels
688,addli,add li
689,addlinestyle,add line style
691,addlookupforbaseseries,add look up for base series
692,addlookupfororthogonalseries,add look up for orthogonal series
694,addmargin,add margin
698,addmoduledependenciescommand,add module dependencies command
700,addmultipletableforeignkeyfieldname,add multiple table foreign key field name
703,addnamedinoutputargumentvalue,add named in output argument value
704,addnamedobjectroot,add named object root
705,addnamedoutputargument,add named output argument
707,addnamedroot,add named root
709,addnamedstringroot,add named string root
711,addnamespaceextensions,add name space extensions
713,addnewheap,add new heap
715,addnotificationview,add notification view
719,addoneditor,add on editor
720,addonerrorblocklisted,add on error block listed
722,addonlogs,add on logs
725,addonpredrawlistener,add on pre draw listener
727,addonscrollchangedlistener,add on scroll changed listener
730,addontarget,add on target
731,addontouchmodechangelistener,add on touch mode change listener
734,addorupdateannotationinsource,add or update annotation in source
735,addorupdatemessage,add or update message
737,addourbuttonselectionlistener,add our button selection listener
738,addpackageparticipantslocked,add package participants locked
740,addparameterhints,add parameter hints
742,addpersistenceunitpages,add persistence unit pages
743,addperspectiveshortcut,add perspective shortcut
745,addpool,add pool
747,addpreferencefor,add preference for
749,addprimarykeyfieldname,add primary key field name
750,addprofilelistener,add profile listener
752,addpropertieschangelistener,add properties change listener
753,addpropertieselement,add properties element
754,addpropertyelement,add property element
755,addproposal,add proposal
757,addpush,add push
758,addqueryresults,add query results
759,addrandomgeneratorpropertydescriptor,add random generator property descriptor
760,addrangeaddresses,add range addresses
765,addreferencedtablesto,add referenced tables to
766,addrelatedartifactsaction,add related artifacts action
767,addrelation,add relation
768,addremovefacetswizard,add remove facets wizard
769,addremovemoduleswizardtestcase,add remove modules wizard test case
770,addrequestinterceptor,add request interceptor
771,addrequiredpluginimports,add required plugin imports
772,addrequiredproject,add required project
774,addresourcesetlistener,add resource set listener
775,addressbars,address bars
779,addresslines,address lines
780,addresspane,address pane
781,addresstext,address text
784,addrfamily,add r family
788,addrunningbundles,add running bundles
790,addscriptblocker,add script blocker
791,addsearchhandler,add search handler
792,addsearchresult,add search result
793,addsentdate,add sent date
797,addsimpleliteralattribute,add simple literal attribute
799,addsourceandlibraries,add source and libraries
801,addspace,add space
802,addspaceaddress,add space address
803,addspan,add span
807,addstatuslistener,add status listener
811,addstylelistener,add style listener
813,addsubject,add subject
814,addsubscriber,add subscriber
815,addsuffix,add suffix
816,addsuperclasses,add super classes
820,addtablename,add table name
821,addtabset,add tab set
822,addtaskrepository,add task repository
827,addtexttoparagraph,add text to paragraph
830,addtoattributeonlyconversionvalue,add to attribute only conversion value
832,addtodict,add to dict
835,addtoitemgroup,add to item group
837,addtomycontactsgroup,add to my contacts group
838,addtosessionhistory,add to session history
839,addtosetup,add to setup
840,addtoviewer,add to viewer
844,addtwofloats,add two floats
845,addtypeparametersoperation,add type parameters operation
846,addunitscontainingbinding,add units containing binding
848,addupdatelistener,add update listener
852,addvalueroot,add value root
853,addvertex,add vertex
854,addviewnode,add view node
855,addviewpage,add view page
857,addwebsitecert,add website cert
858,addworkcity,add work city
859,addworkingsetsection,add working set section
860,addworksheet,add worksheet
861,addworkspacebundletostate,add workspace bundle to state
867,adeclaration,a declaration
868,adefaultaction,a default action
869,adefaultprintername,a default printer name
870,adelta,a delta
876,adhocqueryrequest,adhoc query request
877,adhocqueryresponse,adhoc query response
878,adiagram,a diagram
880,adialogtitle,a dialog title
885,adirection,a direction
888,adisableundo,a disable undo
889,adisconnected,a disconnected
890,adispatchstarttarget,a dispatch start target
894,adjustboundstofit,adjust bounds to fit
895,adjustcontrast,adjust contrast
896,adjustcontributionlist,adjust contribution list
898,adjustinputandsetselection,adjust input and set selection
899,adjustluminance,adjust luminance
901,adjustright,adjust right
903,adjustsubviews,adjust sub views
905,adjusttext,adjust text
906,adjustvisibilityformessagetype,adjust visibility for message type
909,adminactivator,admin activator
910,admindiscuss,admin discuss
911,adminframe,admin frame
916,adminrapwebactivator,admin rap web activator
921,adminusers,admin users
927,adobetourtracker,adobe tour tracker
930,adocumentnode,a document node
933,adornmentflags,adornment flags
945,adriver,a driver
959,adustable,a dust able
963,advancefocus,advance focus
964,advancepropertydescriptor,advance property descriptor
965,advanceselectedtab,advance selected tab
974,advisesink,advise sink
981,aendframe,a end frame
984,aerobasic,aero basic
992,aestheticallyloyal,aesthetically loyal
994,aexecutor,a executor
995,aextra,a extra
1035,aftercalculation,after calculation
1036,aftercall,after call
1037,aftercheckproject,after check project
1039,aftercreate,after create
1040,afteredit,after edit
1041,afterinvocation,after invocation
1042,afterloaddescription,after load description
1043,afterlotoftime,after lot of time
1046,aftersort,after sort
1058,agendawidget,agenda widget
1060,agentcontrollerdelegate,agent controller delegate
1063,agentlist,agent list
1064,agentmap,agent map
1065,agentproxy,agent proxy
1074,aggregateconfig,aggregate config
1076,aggregateproperties,aggregate properties
1078,aggregationcellhandle,aggregation cell handle
1080,aggregationdropadapter,aggregation drop adapter
1092,agingtargetcolor,aging target color
1097,agreetingwithcapability,agreeting with capability
1110,aheitman,a heit man
1140,airbagconfigurator,airbag configurator
1158,ajaxfilebrowser,ajax file browser
1160,ajaxproject,ajax project
1209,alansmithee,alan smithee
1211,alarmalert,alarm alert
1212,alarmdroid,alarm droid
1213,alarmtime,alarm time
1228,albumstest,albums test
1230,albumwall,album wall
1242,alertcantopendownload,alert cant open download
1243,alertclicked,alert clicked
1244,alertclose,alert close
1246,alertenabled,alert enabled
1249,alertnotificationactivity,alert notification activity
1252,alertsservice,alerts service
1253,alerttest,alert test
1267,algorithmid,algorithm id
1268,algorithmparameter,algorithm parameter
1275,aliasdomain,alias domain
1276,aliasesfor,aliases for
1278,aliasset,alias set
1281,alienwidget,alien widget
1283,alignparent,align parent
1288,alinenumber,aline number
1299,allaboutvision,all about vision
1300,allages,all ages
1302,allall,all all
1303,allapps,all apps
1307,allcontactsname,all contacts name
1308,allcontents,all contents
1310,alldiagram,all diagram
1311,alldiagramsexportwizard,all diagrams export wizard
1312,alldicts,all dicts
1313,alldough,all dough
1316,allegronetwork,allegro network
1322,allevents,all events
1323,alleyinsider,alley insider
1324,allfoldersblackedout,all folders blacked out
1326,allfriends,all friends
1329,allheadlessstandalonetests,all headless stand alone tests
1333,allinsearch,all in search
1337,alllayers,all layers
1339,allman,all man
1340,allmanagedagenttests,all managed agent tests
1341,allmanagedbuildtests,all managed build tests
1343,allnettests,all net tests
1347,allocatedblocks,allocated blocks
1351,allocatefromshell,allocate from shell
1355,allocationexpression,allocation expression
1356,allocationpolicy,allocation policy
1357,alloccall,alloc call
1358,allocchunk,alloc chunk
1359,allocfromquicklist,alloc from quick list
1361,allocinvocation,allocin vocation
1362,allocitem,alloc item
1363,allocmem,alloc mem
1364,allocobject,alloc object
1370,allowcamera,allow camera
1372,allowdesktopsync,allow desktop sync
1376,allowedoperationsinterceptor,allowed operations interceptor
1378,allowexport,allow export
1380,allowhtmlemail,allow html email
1381,allowinsecuredomain,allow insecure domain
1385,allowremotedesktop,allow remote desktop
1391,allpages,all pages
1392,allparams,all params
1393,allpodcasts,all podcasts
1395,allresources,all resources
1397,allschedulers,all schedulers
1398,allscript,all script
1402,allsongscursor,all song scursor
1406,alltestssuite,all tests suite
1413,alltoolchains,all tool chains
1417,allvisibleelements,all visible elements
1427,aloneindexertask,alone indexer task
1435,alphadata,alpha data
1437,alphamask,alpha mask
1442,alreadydone,already done
1457,alternatenames,alternate names
1480,alwaysappendaccesskeys,always append access keys
1481,alwaysdata,always data
1484,alwayssometimesonce,always some times once
1547,analysisclasses,analysis classes
1549,analysismarker,analysis marker
1551,analyzebycharacters,analyze by characters
1552,analyzenewpackage,analyze new package
1553,analyzenewpackages,analyze new packages
1554,analyzerextension,analyzer extension
1555,analyzerextensionsamplecreationwizard,analyzer extension sample creation wizard
1565,ancestormoved,ancestor moved
1568,anchoroffset,anchor off set
1569,anchoroverlayobject,anchor overlay object
1570,anchorpageno,anchor page no
1571,anchorposition,anchor position
1577,andclosethestream,and close the stream
1578,andcondition,and condition
1586,andme,and me
1591,andother,and other
1597,andremichel,andre michel
1604,androidapphelp,android app help
1605,androidapplib,android app lib
1607,androidbeamdemo,android beam demo
1608,androidbook,android book
1609,androidbug,android bug
1610,androidbuildfactory,android build factory
1612,androidclient,android client
1615,androidconfigure,android configure
1616,androiddebuggingbug,android debugging bug
1617,androiddevelopers,android developers
1618,androiddeviceidentityconcrete,android device identity concrete
1619,androiddiscuss,android discuss
1623,androidfontissue,android font issue
1628,androidissue,android issue
1630,androidjarloader,android jar loader
1633,androidmaildoesntconnect,android mail doesnt connect
1634,androidmanifestsupportsscreens,android manifests up ports screens
1636,androidnature,android nature
1637,androidpcmformatsamplerate,android pcm format sample rate
1643,androidsnippets,android snippets
1644,androidsoundformats,android sound formats
1646,androidterm,android term
1647,androidtip,android tip
1648,androidtv,android tv
1649,androidworkspace,android workspace
1658,andshow,and show
1693,animatecollapse,animate collapse
1699,animationidler,animation idler
1703,animatorset,animator set
1708,animvalue,anim value
1730,annotatedcommandprovider,annotated command provider
1731,annotatednoclassdeffounderror,annotated no class def found error
1733,annotateimage,annotate image
1735,annotationbug,annotation bug
1736,annotationclass,annotation class
1737,annotationcolumn,annotation column
1738,annotationcontext,annotation context
1739,annotationexpandhover,annotation expand hover
1740,annotationformaterror,annotation format error
1741,annotationids,annotation ids
1745,annotationsprocessor,annotations processor
1746,annotationstable,annotation stable
1748,annotationtransactionaspect,annotation transaction aspect
1756,annualreview,annual review
1757,annualreviews,annual reviews
1759,anobject,an object
1767,anonymousidentitymiddleware,anonymous identity middleware
1768,anonymoustuples,anonymous tuples
1776,anotheraddress,another address
1777,anotherchar,another char
1778,anotherexception,another exception
1779,anothersource,another source
1790,anshow,an show
1795,answergetproperty,answer get property
1798,answerplugingotfocus,answer plugin got focus
1813,antialiashint,anti alias hint
1816,antibanding,anti banding
1849,anyattributemapping,any attribute mapping
1850,anycall,any call
1856,anymimetype,any mime type
1858,anynamespace,any name space
1862,anyrequiredcapabilityquery,any required capability query
1866,anytown,any town
1868,anywordssubstr,any words sub str
1923,apibuildertest,api builder test
1929,apiexecuterunnable,api execute runnable
1930,apifilterspropertypage,api filters property page
1934,apirecordingtargetconfigurationpagepane,api recording target configuration page pane
1938,apisettingsxmlvisitor,api settings xml visitor
1940,apitoolscache,api tools cache
1967,apopupnote,a pop up note
1985,appcachedemo,app cache demo
1986,appclientartifactedit,app client artifact edit
1988,appcontextextension,app context extension
1989,appdatabuffered,app data buffered
1993,appearancepreferencepage,appearance preference page
1994,appearancepropertysection,appearance property section
1998,appendandexecute,append and execute
2000,appendcall,append call
2001,appendelementstart,Append element start
2002,appendenvironmentvariables,Append environment variables
2004,appendhex,Append hex
2005,appendinternal,Append internal
2006,appendixadeprecatedapi,Appendix a deprecated api
2008,appendnumbers,Append numbers
2011,appendsample,Append sample
2013,appendtoactual,Append to actual
2014,appendtypeparameters,Append type parameters
2020,appentry,App entry
2026,appfirewall,App firewall
2028,appfuse,App fuse
2029,appgroup,App group
2030,apphandler,App handler
2031,appidhere,App id here
2034,appinfothread,App info thread
2035,appinit,App init
2036,appintent,App intent
2044,appledesktop,Apple desktop
2048,appleid,Apple id
2049,appleinc,Apple inc
2051,applejuice,Apple juice
2052,appleland,Apple land
2053,applepixletvideo,Apple pixlet video
2054,applereport,Apple report
2055,appletbrowser,Applet browser
2056,appletcontext,Applet context
2057,appletframe,Applet frame
2058,appletjavahost,Applet java host
2062,appleusbtrackpad,Apple usb track pad
2069,applicationcacheavailable,Application cache available
2070,applicationclient,Application client
2071,applicationclosing,Application closing
2073,applicationdelegate,Application delegate
2074,applicationexception,Application exception
2076,applicationfailure,Application failure
2077,applicationmetadatahandler,Application meta data handler
2078,applicationmethod,Application method
2079,applicationmodelmanager,Application model manager
2083,applicationsloader,Applications loader
2084,applicationstarts,Application starts
2085,applicationtest,Application test
2086,applicationwillterminate,Application will terminate
2090,appliestomap,Applies to map
2091,appliestomapping,Applies to mapping
2101,applychange,Apply change
2104,applydata,Apply data
2105,applydataextensionssingletag,Apply data extensions single tag
2107,applyedit,Apply edit
2108,applyforwardandreplyfilter,Apply forward and reply filter
2110,applyimports,Apply imports
2112,applyleavingtail,Apply leaving tail
2113,applymorph,Apply morph
2114,applymorphforrun,Apply morph for run
2118,applypendingchanges,Apply pending changes
2119,applypreference,Apply preference
2120,applyprofile,Apply profile
2121,applyrotation,Apply rotation
2123,applysizerules,Apply size rules
2124,applystereotypeactioncommand,Apply stereo type action command
2126,applytimezone,Apply time zone
2130,applyviewoptions,Apply view options
2132,appmenuitem,App menu item
2154,approvedapplicationlist,Approved application list
2157,appscustomizedpagedview,Apps customized paged view
2160,appsecuritymanager,App security manager
2162,appserverplugin,App server plugin
2163,appservers,App servers
2164,appshellservice,App shell service
2165,appsmenureorganization,Apps menu reorganization
2168,appusage,App usage
2181,aprofilename,A profile name
2187,aprotocolscheme,A protocol scheme
2190,apseudoelement,A pseudo element
2195,aqualog,Aqua log
2198,aquariumminefield,Aquarium mine field
2223,architectureware,Architecture ware
2228,archivefilemanipulations,Archive file manipulations
2230,archivelog,Archive log
2242,areaeditpart,Area edit part
2244,arearestriction,Area restriction
2250,areferenceframe,A reference frame
2255,arenaserverplugin,Arena server plugin
2256,areplaceinsidediv,Are place inside div
2259,aresolution,A resolution
2260,aresolvestyle,Are solve style
2261,arespectnewlines,A respect new lines
2262,aresultlocation,A result location
2271,argname,Arg name
2274,argparse,Arg parse
2275,argsarray,Args array
2277,argsgetter,Args getter
2283,argumentcount,Argument count
2286,argumentmap,Argument map
2287,argumenttype,Argument type
2307,armruntimemessages,Arm run time messages
2308,armtimer,Arm timer
2309,armuiplugin,Arm ui plug in
2310,armwrapper,Arm wrapper
2318,arprops,Ar props
2322,arrayblockingqueue,Array blocking queue
2325,arraycount,Array count
2326,arrayelement,Array element
2327,arrayfaces,Array faces
2331,arrayinitializer,Array initializer
2332,arraymapping,Array mapping
2333,arrayoftelephone,Array of telephone
2334,arrayoutofbounds,Array out of bounds
2336,arraytohtmltable,Array to html table
2338,arrayutil,Array util
2340,arrblogconfig,Arr blog config
2346,arrowdrawn,Arrow drawn
2347,arrowexecutor,Arrow executor
2349,arrranging,arrranging
2352,artech,Ar tech
2354,artengine,Art engine
2355,arthurkabala,Arthur kabala
2356,articlebrowse,Article browse
2357,articlebrowsefragment,Article browse fragment
2359,articlehelpfulscore,Article helpful score
2364,artifactpage,Artifac tpage
2365,artifactproxynode,Artifact proxy node
2374,artistname,Artist name
2385,asafejscontext,A safe js context
2389,asarray,As array
2390,asavedsearchname,A saved search name
2391,ascanner,A scanner
2398,ascompiler,As compiler
2399,ascriptrunstart,A script run start
2401,ascrollposition,A scroll position
2402,ascrolltop,A scroll top
2412,asecondaryexplicitscales,A secondary explicits cales
2420,asetpixelscale,Aset pixel scale
2427,ashbyelectronics,Ashby electronics
2430,ashpazbashi,Ashpaz bashi
2436,asimcard,A sim card
2450,aslmod,Asl mod
2462,asofclause,As of clause
2463,asoperator,As operator
2467,aspectchanged,Aspect changed
2468,aspectdef,Aspect def
2469,aspectinstancechildextender,Aspect instance child extender
2472,aspectjbug,Aspect j bug
2475,aspectjstructurebridge,Aspect j structure bridge
2476,aspectjtaskdefs,Aspect j task defs
2480,aspectschildextender,Aspects child extender
2488,asrcopt,Asr copt
2497,assemblerbufferwithconstantpool,Assembler buffer with constant pool
2498,assemblescriptname,Assemble script name
2499,assemblytempdir,Assembly temp dir
2501,assertavailable,Assert available
2503,assertdecompressed,Assert decompressed
2504,assertdirectoryandsubdirectoriesnotwritable,Assert directory and sub directories not writable
2505,assertdownframeisconsistent,Assert down frame is consistent
2508,assertfail,Assert fail
2509,assertfailed,Assert failed
2510,assertfunctions,Assert functions
2516,assertonscreen,Assert on screen
2517,assertproblems,Assert problems
2518,assertproximitytype,Assert proximity type
2520,assertruncontroller,Assert run controller
2523,assertsyncequals,Assert sync equals
2524,asserttouchpoint,Assert touch point
2528,assetrequest,Asset request
2529,assetstream,Asset stream
2535,assigningauthorityuniversalidtype,Assigning authority universal id type
2537,assignmentoperator,Assignment operator
2538,assignprocesstojobobject,Assign process to job object
2539,assignsequences,Assign sequences
2544,assistiveware,Assistive ware
2546,associationclasse,Association classe
2547,associationmap,Association map
2579,astsemanticvalidator,A stsemantic validator
2580,astsubroutinesubprogramnode,Ast sub routine sub program node
2583,astunaryexpression,Astunary expression
2585,astvalueprefix,Ast value prefix
2599,asyncchannels,A sync channels
2602,asyncconvertdata,A sync convert data
2603,asyncdispatch,A sync dispatch
2607,asyncgetcalltrace,A sync get call trace
2609,asynchbeans,A synch beans
2611,asynchrequestrun,A synch request run
2617,asynchrunner,Asynch runner
2640,atactiveconnectionlimit,Atactive connection limit
2667,athome,At home
2673,atindex,At index
2686,atldefaultcompiler,At lde fault compiler
2688,atleasthoneycomb,At least honey comb
2694,atmail,At mail
2702,atomicreferencefieldupdaterimpl,Atomic reference field updater impl
2705,atomlist,Atom list
2708,atompatterncharacterunescaped,Atom pattern character unescaped
2711,atomtoprintablestring,Atom to printable string
2725,atservice,At service
2729,attachbasecontext,Attach base context
2734,attachmate,Attach mate
2735,attachmentorigin,Attachment origin
2740,attachto,Attach to
2741,attachtoagent,Attach to agent
2757,attemptpopframes,Attempt pop frames
2761,attendeename,Attendee name
2762,attendeestatus,Attendee status
2772,attributecontainters,Attribute containters
2774,attributeid,Attribute id
2775,attributemap,Attribute map
2776,attributemappinguiprovider,Attribute mapping ui provider
2779,attributevaluedefinition,Attribute value definition
2780,attributevaluepair,Attribute value pair
2784,attrnames,Attr names
2790,attstring,Att string
2806,audiobuffersamples,Audio buffer samples
2809,audioeffect,Audio effect
2811,audioeng,Audio eng
2812,audiofeedicon,Audio feed icon
2813,audiofile,Audio file
2814,audiofileopen,Audio file open
2815,audiofileopenurl,Audio file open url
2816,audiofocushelper,Audio focus helper
2817,audioformaten,Audio format en
2819,audiohardwaretegra,Audio hardware tegra
2824,audiomanagertest,Audio manager test
2826,audioparamcheck,Audio param check
2830,audioquality,Audio quality
2831,audioresampler,Audio resampler
2837,audiotracks,Audio tracks
2839,audiourl,Audio url
2840,audiovideoelectronics,Audio video electronics
2841,audioworker,Audio worker
2844,auditingcustomizer,Auditing customizer
2845,auditqueryevent,Audit query event
2853,augmenttype,Augment type
2866,ausedstartstruct,A used start struct
2868,auserfontdata,A user font data
2869,auserinput,A user input
2886,authchallengeprocessor,Auth challenge processor
2887,authenticatecommand,Authenticate command
2888,authenticatedata,Authenticate data
2889,authenticatesectorwithkeyb,Authenticate sector with keyb
2890,authenticationactor,Authentication actor
2891,authenticationfailed,Authentication failed
2892,authenticatoractivity,Authenticator activity
2900,authordriver,Author driver
2903,authorityname,Authority name
2904,authorizationcopyrights,Authorization copy rights
2905,authorizationexecutewithprivileges,Authorization execute with privileges
2907,authorizationfree,Authorization free
2908,authorizationhost,Authorization host
2909,authorname,Author name
2912,authpromptadapterfactory,Auth prompt adapter factory
2913,authrequired,Auth required
2918,autoabstract,Auto abstract
2919,autoactivate,Auto activate
2921,autoarchive,Auto archive
2922,autoarchivecontextdisplayhelper,Auto archive context display helper
2925,autobuffered,Auto buffered
2929,autoclean,Auto clean
2930,autocolor,Auto color
2932,autocomplate,Auto complate
2933,autocompletefield,Auto complete field
2941,autocorrects,Auto corrects
2943,autocreates,Auto creates
2945,autodecrements,Auto decrements
